gene_id	gene_name
FBgn0037261	CG9775
FBgn0286036	sisRNA:CR46358
FBgn0037262	MED31
FBgn0037263	slx1
FBgn0040466	Dlip2
FBgn0022981	rpk
FBgn0265038	asRNA:CR44155
FBgn0087013	Karybeta3
FBgn0037265	spartin
FBgn0263346	smash
FBgn0265039	lncRNA:CR44156
FBgn0265040	lncRNA:CR44157
FBgn0053927	CG33927
FBgn0037270	eIF3f1
FBgn0266228	lncRNA:CR44923
FBgn0027570	Nep2
FBgn0026620	tacc
FBgn0267812	asRNA:CR46137
FBgn0283546	mir-9384
FBgn0010750	atms
FBgn0264907	CG44098
FBgn0264897	CG44088
FBgn0037275	CG14655
FBgn0037276	CG17387
FBgn0260794	ctrip
FBgn0026417	Hus1-like
FBgn0037279	CG1129
FBgn0037280	BBS5
FBgn0037282	CG14657
FBgn0037283	CG14658
FBgn0037284	CG14659
FBgn0003002	opa
FBgn0020280	laf
FBgn0267140	lncRNA:CR45580
FBgn0004913	Gnf1
FBgn0265082	Cdep
FBgn0266698	lncRNA:CR45188
FBgn0004183	snRNA:U1:82Eb
FBgn0004436	Ubc6
FBgn0037288	CG14661
FBgn0250839	CG2016
FBgn0037290	CG1124
FBgn0037291	CG14662
FBgn0263455	asRNA:CR43478
FBgn0263343	lncRNA:CR43424
FBgn0037292	plh
FBgn0267145	lncRNA:CR45585
FBgn0286032	lncRNA:CR46352
FBgn0263626	lncRNA:CR43635
FBgn0267148	lncRNA:CR45588
FBgn0010313	corto
FBgn0262605	CG43131
FBgn0037293	CG12007
FBgn0040684	CG12589
FBgn0037295	dpr16
FBgn0037294	CG12590
FBgn0286879	CR46401
FBgn0259212	cno
FBgn0263018	snRNA:U4atac
FBgn0037296	Prosbeta2R2
FBgn0037297	CG1116
FBgn0037298	Sccpdh1
FBgn0040682	CG14664
FBgn0037299	Vps37B
FBgn0040208	Kat60
FBgn0037301	Mms19
FBgn0087005	rtp
FBgn0260462	CG12163
FBgn0053293	CG33293
FBgn0264789	asRNA:CR44019
FBgn0037304	CG1113
FBgn0037305	CG12173
FBgn0264785	Hph
FBgn0037307	Tim17a2
FBgn0267443	lncRNA:CR45793
FBgn0266393	CR45033
FBgn0013576	mtd
FBgn0051538	CG31538
FBgn0037310	Tim17b1
FBgn0037312	CG11999
FBgn0037313	CG1161
FBgn0250746	Prosbeta7
FBgn0037315	Cerk
FBgn0264912	lncRNA:CR44103
FBgn0051542	CG31542
FBgn0085306	CG34277
FBgn0003275	RpII18
FBgn0086695	hd
FBgn0037317	CG14667
FBgn0041707	7B2
FBgn0001311	kkv
FBgn0037320	CG14668
FBgn0011965	tRNA:Arg-TCG-4-1
FBgn0264712	CG1172
FBgn0037322	Or83a
FBgn0037323	CG2663
FBgn0037324	Orco
FBgn0037326	CG14669
FBgn0037325	CG12147
FBgn0037327	PEK
FBgn0037328	RpL35A
FBgn0037329	POLDIP2
FBgn0037330	mRpL44
FBgn0011715	Snr1
FBgn0266539	CG45100
FBgn0025825	HDAC3
FBgn0037332	Hcs
FBgn0015402	ksr
FBgn0051550	CG31550
FBgn0051547	NKCC
FBgn0010399	Nmdar1
FBgn0010051	Itp-r83A
FBgn0264427	CG43845
FBgn0037336	CG2519
FBgn0014342	mia
FBgn0086768	Pcmt
FBgn0037338	Snm1
FBgn0037339	Pi4KIIalpha
FBgn0263484	snoRNA:Pi4KIIalpha-a
FBgn0267811	asRNA:CR46136
FBgn0037340	CG14671
FBgn0037341	CG12746
FBgn0037342	CG2931
FBgn0041191	Rheb
FBgn0023023	CRMP
FBgn0037344	CG2926
FBgn0286738	scaRNA:MeU4:25F-C137
FBgn0037345	Rev7
FBgn0014366	noi
FBgn0283535	Vha26
FBgn0250753	kra
FBgn0082961	snoRNA:Psi28S-3385b
FBgn0082962	snoRNA:Psi28S-3385a
FBgn0082978	snoRNA:Psi28S-3091b
FBgn0082979	snoRNA:Psi28S-3091a
FBgn0082954	snoRNA:Psi28S-3571
FBgn0086662	snoRNA:Psi28S-3186
FBgn0082988	snoRNA:Psi28S-2442b
FBgn0082989	snoRNA:Psi28S-2442a
FBgn0037347	CG1427
FBgn0261004	asl
FBgn0017550	Rga
FBgn0263619	asRNA:ASTR
FBgn0285959	sisRNA:1
FBgn0267810	asRNA:CR46135
FBgn0019637	Atu
FBgn0044823	Spec2
FBgn0037350	CG2911
FBgn0037351	RpL13A
FBgn0260002	snoRNA:Me28S-U2134b
FBgn0086051	snoRNA:Me28S-U2134a
FBgn0051551	CG31551
FBgn0051549	CG31549
FBgn0037354	CG12171
FBgn0051546	CG31546
FBgn0051548	CG31548
FBgn0037356	CG12170
FBgn0027951	MTA1-like
FBgn0262125	Sec23
FBgn0037358	elm
FBgn0037359	MED27
FBgn0037360	CG2182
FBgn0264902	asRNA:CR44093
FBgn0046222	Wdr33
FBgn0267809	asRNA:CR46134
FBgn0010772	Xe7
FBgn0037363	Atg17
FBgn0037364	Rab23
FBgn0261261	plx
FBgn0037365	CG2104
FBgn0004878	cas
FBgn0266229	lncRNA:CR44924
FBgn0037368	CG1239
FBgn0037369	CG2100
FBgn0037370	CG1236
FBgn0037371	Sym
FBgn0027497	Madm
FBgn0037372	CG2091
FBgn0266672	Sec8
FBgn0027608	CG2082
FBgn0037374	jagn
FBgn0037375	kat-60L1
FBgn0037376	Hat1
FBgn0028690	Rpn5
FBgn0037377	CG1218
FBgn0037378	CG2046
FBgn0037379	CG10979
FBgn0263353	CG11000
FBgn0261561	CG42675
FBgn0037382	Hpr1
FBgn0284081	CG46303
FBgn0037383	CG2023
FBgn0037384	dgrn
FBgn0037385	glob3
FBgn0037386	CG1208
FBgn0266702	asRNA:CR45192
FBgn0037387	CG1213
FBgn0037388	CG14676
FBgn0037389	CR10991
FBgn0029088	disp
FBgn0085316	CG34287
FBgn0028436	ECSIT
FBgn0037391	CG2017
FBgn0267808	asRNA:CR46133
FBgn0083949	side-III
FBgn0267399	lncRNA:CR45761
FBgn0267400	lncRNA:CR45762
FBgn0040679	CG11373
FBgn0266230	lncRNA:CR44925
FBgn0266231	lncRNA:CR44926
FBgn0284417	lncRNA:TS20
FBgn0011281	Obp83a
FBgn0010403	Obp83b
FBgn0266232	lncRNA:CR44927
FBgn0266233	lncRNA:CR44928
FBgn0003261	Rm62
FBgn0037395	CG10280
FBgn0037396	CG11459
FBgn0037397	CR1075
FBgn0267941	lncRNA:CR46221
FBgn0266226	lncRNA:CR44921
FBgn0037398	CG15580
FBgn0037399	Or83c
FBgn0026077	Gasp
FBgn0266234	lncRNA:CR44929
FBgn0046878	Obp83cd
FBgn0046876	Obp83ef
FBgn0046875	Obp83g
FBgn0037402	Vha14-2
FBgn0263497	lncRNA:CR43486
FBgn0263498	lncRNA:CR43487
FBgn0051559	CG31559
FBgn0037405	CG1077
FBgn0037406	Osi1
FBgn0051562	CR31562
FBgn0037408	NPFR
FBgn0037409	Osi24
FBgn0037410	Osi2
FBgn0037411	Osi3
FBgn0037412	Osi4
FBgn0037413	Osi5
FBgn0027527	Osi6
FBgn0037414	Osi7
FBgn0037415	Osi8
FBgn0037416	Osi9
FBgn0037417	Osi10
FBgn0037418	Osi11
FBgn0037419	Osi12
FBgn0037420	CG15597
FBgn0037421	CG15594
FBgn0037422	Osi13
FBgn0040279	Osi14
FBgn0037424	Osi15
FBgn0286874	CG46396
FBgn0051561	Osi16
FBgn0267690	CG46026
FBgn0051560	CG31560
FBgn0037427	Osi17
FBgn0037428	Osi18
FBgn0037429	Osi19
FBgn0037430	Osi20
FBgn0037431	CG17917
FBgn0037432	CG10298
FBgn0037433	CG17919
FBgn0261789	SmD2
FBgn0037435	CG18048
FBgn0037436	Hr83
FBgn0267698	Pak
FBgn0261641	CG42724
FBgn0037439	CG10286
FBgn0037440	CRAT
FBgn0260766	CG42564
FBgn0261006	snoRNA:83E4-5
FBgn0027514	CG1024
FBgn0260645	CG42537
FBgn0010282	TfIIFalpha
FBgn0037442	gzl
FBgn0037443	Dmtn
FBgn0264495	gpp
FBgn0264787	lncRNA:CR44017
FBgn0037445	CG9727
FBgn0283558	mir-9375
FBgn0037446	Zif
FBgn0037447	Neurochondrin
FBgn0037448	CG15186
FBgn0011919	tRNA:Met-CAT-1-5
FBgn0037449	CG15185
FBgn0053202	dpr11
FBgn0046873	Pif2
FBgn0267807	lncRNA:CR46132
FBgn0037454	CG1137
FBgn0037455	CG2336
FBgn0267806	lncRNA:CR46131
FBgn0037456	CG1138
FBgn0051482	CG31482
FBgn0250846	glob2
FBgn0037460	sowi
FBgn0037461	CG15177
FBgn0037462	sunz
FBgn0051286	CG31286
FBgn0026565	Ass
FBgn0010355	Taf1
FBgn0026566	CG1307
FBgn0262801	twr
FBgn0024912	agt
FBgn0002522	lab
FBgn0000552	Edg84A
FBgn0004777	Ccp84Ag
FBgn0004778	Ccp84Af
FBgn0004779	Ccp84Ae
FBgn0004780	Ccp84Ad
FBgn0004781	Ccp84Ac
FBgn0063127	lncRNA:CR33938
FBgn0004782	Ccp84Ab
FBgn0004783	Ccp84Aa
FBgn0051481	pb
FBgn0004054	zen2
FBgn0085326	CG34297
FBgn0004053	zen
FBgn0000166	bcd
FBgn0267153	lncRNA:CR45593
FBgn0000071	Ama
FBgn0266235	lncRNA:CR44930
FBgn0261638	lncRNA:CR42721
FBgn0262174	mir-993
FBgn0263383	lncRNA:CR43435
FBgn0000439	Dfd
FBgn0261503	lncRNA:CR42651
FBgn0262424	mir-10
FBgn0267575	lncRNA:CR45915
FBgn0051485	tRNA:Lys-CTT-2-1Psi
FBgn0026162	tRNA:Lys-TTT-2-1
FBgn0261504	7SLRNA:CR42652
FBgn0026163	tRNA:Lys-TTT-2-2
FBgn0026164	tRNA:Lys-TTT-2-3
FBgn0000003	7SLRNA:CR32864
FBgn0011904	tRNA:Lys-TTT-2-4
FBgn0003339	Scr
FBgn0267561	lncRNA:CR45901
FBgn0267562	lncRNA:CR45902
FBgn0267563	lncRNA:CR45903
FBgn0267564	lncRNA:CR45904
FBgn0267565	lncRNA:CR45905
FBgn0267560	lncRNA:CR45900
FBgn0001077	ftz
FBgn0266236	lncRNA:CR44931
FBgn0267119	lncRNA:CR45559
FBgn0266237	lncRNA:CR44932
FBgn0260642	Antp
FBgn0262897	lncRNA:CR43252
FBgn0267559	lncRNA:CR45899
FBgn0266238	lncRNA:CR44933
FBgn0024289	Sodh-1
FBgn0026563	CG1979
FBgn0019828	dj
FBgn0037463	djl
FBgn0037464	CG1988
FBgn0037465	CG1105
FBgn0037466	CG1965
FBgn0037467	Ufl1
FBgn0267568	asRNA:CR45908
FBgn0037468	CG1943
FBgn0010774	Ref1
FBgn0037469	Dpck
FBgn0037470	Tailor
FBgn0267567	asRNA:CR45907
FBgn0003884	alphaTub84B
FBgn0263768	lncRNA:CR43685
FBgn0040670	e(y)2b
FBgn0261238	Alh
FBgn0267566	lncRNA:CR45906
FBgn0014863	Mlp84B
FBgn0037472	CG10098
FBgn0037473	CG10068
FBgn0262149	CR42875
FBgn0051248	CG31248
FBgn0051494	tRNA:Gly-TCC-1-1
FBgn0051491	tRNA:Gly-TCC-1-2
FBgn0051493	CG31493
FBgn0037475	Fer1
FBgn0261702	asRNA:CR42738
FBgn0037477	CG14610
FBgn0037478	CG2656
FBgn0250732	gfzf
FBgn0011020	Sas-4
FBgn0037481	MAGE
FBgn0267569	asRNA:CR45909
FBgn0002306	sas
FBgn0037482	CG10055
FBgn0086372	lap
FBgn0037483	CG14609
FBgn0250845	CG1288
FBgn0037485	CG14606
FBgn0037486	CG14605
FBgn0037487	thw
FBgn0037488	CG14607
FBgn0037489	CG1234
FBgn0037490	CG10053
FBgn0037491	CG1227
FBgn0037492	CG10050
FBgn0011282	Obp84a
FBgn0001112	Gld
FBgn0265426	lncRNA:CR44338
FBgn0028400	Syt4
FBgn0037493	CR10032
FBgn0267337	rn
FBgn0265421	lncRNA:CR44333
FBgn0045843	RacGAP84C
FBgn0260713	CG42544
FBgn0265422	lncRNA:CR44334
FBgn0267805	lncRNA:CR46130
FBgn0037498	CG10029
FBgn0283626	lncRNA:CR46299
FBgn0267944	lncRNA:CR46224
FBgn0265423	CG44335
FBgn0265424	lncRNA:TS14
FBgn0265425	lncRNA:CR44337
FBgn0051496	CG31496
FBgn0051501	nxf4
FBgn0262982	CG43290
FBgn0037500	CG17944
FBgn0004175	Mst84Dd
FBgn0004174	Mst84Dc
FBgn0004173	Mst84Db
FBgn0004172	Mst84Da
FBgn0015770	MstProx
FBgn0267120	lncRNA:CR45560
FBgn0261502	CG42650
FBgn0037501	Ir84a
FBgn0283627	CR46300
FBgn0037502	wa-cup
FBgn0037503	CG14598
FBgn0011999	tRNA:Val-CAC-2-1
FBgn0263565	mir-4950
FBgn0011998	tRNA:Val-CAC-2-2
FBgn0266239	lncRNA:CR44934
FBgn0012000	tRNA:Val-CAC-2-3
FBgn0037504	CG1142
FBgn0043853	scaRNA:MeU5-C46
FBgn0065099	snRNA:7SK
FBgn0012001	tRNA:Val-CAC-2-4
FBgn0015569	alpha-Est10
FBgn0261508	CG42656
FBgn0015577	alpha-Est9
FBgn0037506	Mics1
FBgn0015576	alpha-Est8
FBgn0017456	Ubc84D
FBgn0015575	alpha-Est7
FBgn0015574	alpha-Est6
FBgn0027934	alpha-Est4aPsi
FBgn0015831	Rtnl2
FBgn0003885	alphaTub84D
FBgn0261393	alpha-Est5
FBgn0015572	alpha-Est4
FBgn0267803	asRNA:CR46128
FBgn0015571	alpha-Est3
FBgn0015570	alpha-Est2
FBgn0267804	asRNA:CR46129
FBgn0015568	alpha-Est1
FBgn0267105	CG45545
FBgn0083963	Nlg3
FBgn0265420	lncRNA:CR44332
FBgn0051146	Nlg1
FBgn0265200	lncRNA:CR44260
FBgn0037512	CG2616
FBgn0262899	CG43254
FBgn0266240	lncRNA:CR44935
FBgn0037513	pyd3
FBgn0037514	CG10919
FBgn0037515	Sp7
FBgn0037516	CG11286
FBgn0267945	lncRNA:CR46225
FBgn0267946	lncRNA:CR46226
FBgn0042104	CG18747
FBgn0042102	CG18745
FBgn0042105	CG18748
FBgn0042103	CG18746
FBgn0037517	CG10086
FBgn0037518	CG2641
FBgn0042101	CG18744
FBgn0037519	CG3014
FBgn0037520	CG18268
FBgn0037521	CG2993
FBgn0051472	sgll
FBgn0051473	CG31473
FBgn0085413	CG34384
FBgn0037525	CG17816
FBgn0267802	lncRNA:CR46127
FBgn0037526	ArgRS-m
FBgn0037529	mRpS9
FBgn0260005	wtrw
FBgn0037530	EMC1
FBgn0024909	Taf7
FBgn0004901	Prat
FBgn0014930	CG2846
FBgn0014931	CG2678
FBgn0037531	CG10445
FBgn0002542	lds
FBgn0261453	scaRNA:MeU2-C41
FBgn0000504	dsx
FBgn0037533	CD98hc
FBgn0010401	Os-C
FBgn0259974	Sfp84E
FBgn0037534	ELOVL
FBgn0267818	lncRNA:CR46143
FBgn0267817	lncRNA:CR46142
FBgn0037535	PIG-H
FBgn0266598	Kmn2
FBgn0037536	CG2698
FBgn0037537	CG2767
FBgn0040524	CG11052
FBgn0037538	CG3223
FBgn0037539	CG10435
FBgn0037540	Pbp95
FBgn0037541	CG2747
FBgn0001255	ImpE3
FBgn0037543	CG10903
FBgn0037544	CG11035
FBgn0010812	unc-45
FBgn0266241	lncRNA:CR44936
FBgn0262362	CG43060
FBgn0263596	CG43618
FBgn0262363	CG43061
FBgn0037546	mAChR-B
FBgn0086052	snoRNA:Me18S-G423
FBgn0037547	CG7910
FBgn0265418	lncRNA:CR44330
FBgn0037548	CG7900
FBgn0243512	puc
FBgn0265419	lncRNA:CR44331
FBgn0037549	CG7878
FBgn0037550	CG9667
FBgn0037551	Arl8
FBgn0051583	tRNA:Asn-GTT-1-10
FBgn0011963	tRNA:Arg-ACG-1-6
FBgn0011962	tRNA:Arg-ACG-1-7
FBgn0011961	tRNA:Arg-ACG-1-8
FBgn0011960	tRNA:Arg-ACG-1-9
FBgn0011959	tRNA:Arg-ACG-1-10
FBgn0001138	grn
FBgn0262994	lncRNA:CR43302
FBgn0262995	lncRNA:CR43303
FBgn0261290	CheA84a
FBgn0037552	CG7800
FBgn0037553	CG18249
FBgn0267111	lncRNA:CR45551
FBgn0267110	lncRNA:CR45550
FBgn0267109	asRNA:CR45549
FBgn0037554	DNApol-iota
FBgn0037555	Ada2b
FBgn0037556	CG9636
FBgn0042182	CG18749
FBgn0064126	CG33722
FBgn0040528	CG15864
FBgn0260386	mtg
FBgn0037560	CR18228
FBgn0010173	RpA-70
FBgn0014861	Mcm2
FBgn0037561	CG9630
FBgn0010433	ato
FBgn0265377	lncRNA:CR44318
FBgn0037562	Nazo
FBgn0037563	CG11672
FBgn0051464	CG31464
FBgn0051463	CG31463
FBgn0037565	CG9626
FBgn0037566	mRpL1
FBgn0265351	nac
FBgn0265101	Sgt1
FBgn0037569	tex
FBgn0263550	mir-4918
FBgn0037570	CG11693
FBgn0037571	CG11694
FBgn0037572	CG11698
FBgn0037573	CG7483
FBgn0037574	Coq2
FBgn0266742	lncRNA:CR45215
FBgn0062412	Ctr1B
FBgn0003129	Poxm
FBgn0037576	Or85a
FBgn0037577	CG7443
FBgn0040529	COX7A
FBgn0004908	Arl2
FBgn0037578	CG9601
FBgn0037579	COX7AL
FBgn0037580	DppIII
FBgn0037581	CG7352
FBgn0283560	mir-9380
FBgn0261108	Atg13
FBgn0020249	stck
FBgn0037583	CG9684
FBgn0037584	CG7963
FBgn0266801	CG45263
FBgn0267801	lncRNA:CR46126
FBgn0037589	Obp85a
FBgn0267800	lncRNA:CR46125
FBgn0037590	Or85b
FBgn0037591	Or85c
FBgn0267948	lncRNA:CR46228
FBgn0037592	CG11737
FBgn0051454	CG31454
FBgn0051259	CG31259
FBgn0040531	CG11741
FBgn0267135	lncRNA:CR45575
FBgn0267134	lncRNA:CR45574
FBgn0037594	Or85d
FBgn0051453	pch2
FBgn0051450	mRpS18A
FBgn0051460	CG31460
FBgn0265318	asRNA:CR44291
FBgn0266916	Cenp-C
FBgn0261929	5-HT2B
FBgn0267799	lncRNA:CR46124
FBgn0026399	Or85e
FBgn0012028	tRNA:Tyr-GTA-1-4
FBgn0012027	tRNA:Tyr-GTA-1-5
FBgn0037601	Cyp313b1
FBgn0024326	Mkk4
FBgn0037602	SLIRP2
FBgn0000447	Dhod
FBgn0037603	CG11753
FBgn0259992	CG42489
FBgn0263231	bel
FBgn0086679	p
FBgn0037606	CG8032
FBgn0037607	CG8036
FBgn0012026	tRNA:Tyr-GTA-1-6
FBgn0012025	tRNA:Tyr-GTA-1-7
FBgn0012024	tRNA:Tyr-GTA-1-8
FBgn0037608	mRpL19
FBgn0037609	CG9773
FBgn0037610	CG8043
FBgn0037611	CG11755
FBgn0053325	CG33325
FBgn0266242	lncRNA:CR44937
FBgn0265158	CG44227
FBgn0001180	hb
FBgn0037613	Cks85A
FBgn0037612	CG8112
FBgn0037614	TMEM216
FBgn0037615	CG11760
FBgn0037616	CG8136
FBgn0037617	nom
FBgn0037618	ouib
FBgn0037619	CG8159
FBgn0037620	ranshi
FBgn0037621	M1BP
FBgn0037622	CG8202
FBgn0037623	CG9801
FBgn0037624	CG8223
FBgn0083971	CG34135
FBgn0037625	CG11768
FBgn0265159	asRNA:CR44228
FBgn0037626	CG8236
FBgn0037627	CG13318
FBgn0085330	CG34301
FBgn0261015	Pif1A
FBgn0046874	Pif1B
FBgn0053191	CG33191
FBgn0053189	CG33189
FBgn0037630	Ir85a
FBgn0037632	CCT7
FBgn0037633	CG9839
FBgn0037634	hng2
FBgn0037635	CG9837
FBgn0286516	aqz
FBgn0262604	lncRNA:CR43130
FBgn0040532	CG8369
FBgn0037637	IscU
FBgn0037638	CG8379
FBgn0262614	pyd
FBgn0011966	tRNA:Arg-TCG-2-3
FBgn0053551	tRNA:Arg-TCG-2-4
FBgn0264790	asRNA:CR44020
FBgn0003015	osk
FBgn0286867	lncRNA:osk
FBgn0037643	ScsbetaA
FBgn0037644	CG11964
FBgn0286204	ich
FBgn0037646	CAHbeta
FBgn0037647	RagA-B
FBgn0027503	CG11970
FBgn0260243	E(var)3-9
FBgn0037648	CG11975
FBgn0051100	CG31100
FBgn0037650	CG11977
FBgn0037652	CG11980
FBgn0026380	Prosbeta3
FBgn0037653	Iru
FBgn0037654	CG11983
FBgn0037655	Kcmf1
FBgn0040534	Sf3b5
FBgn0037656	CG11986
FBgn0264075	tgo
FBgn0002932	neur
FBgn0063298	asRNA:CR31429
FBgn0037657	hyx
FBgn0010222	Nmdmc
FBgn0014018	Rel
FBgn0028708	Mst85C
FBgn0037659	Kdm2
FBgn0037660	beag
FBgn0037661	Ada
FBgn0003165	pum
FBgn0037662	CG11997
FBgn0266706	lncRNA:CR45196
FBgn0000412	D1
FBgn0260935	Vps15
FBgn0037664	CG8420
FBgn0037665	St2
FBgn0037666	CR16735
FBgn0037667	CG16734
FBgn0037668	CG16736
FBgn0037669	Ibf2
FBgn0037670	Ibf1
FBgn0037671	ATP6AP2
FBgn0037672	sage
FBgn0010803	TrpRS
FBgn0285911	Vps16A
FBgn0286030	lncRNA:CR46350
FBgn0037676	CG8861
FBgn0037675	HP1e
FBgn0037677	CG12951
FBgn0037678	CG16749
FBgn0037679	Aduk
FBgn0037680	pasi2
FBgn0262993	lncRNA:CR43301
FBgn0266410	CG45050
FBgn0086053	snoRNA:Me18S-G1358a
FBgn0086054	snoRNA:Me18S-G1358b
FBgn0263750	CG43675
FBgn0037683	CG18473
FBgn0037684	Srr
FBgn0000723	FER
FBgn0267820	asRNA:CR46145
FBgn0037685	Or85f
FBgn0083953	CG34117
FBgn0037686	RpL34b
FBgn0037687	CG8132
FBgn0037688	CG9356
FBgn0037689	CG8135
FBgn0260237	BBIP1
FBgn0265201	CG44261
FBgn0003889	betaTub85D
FBgn0037690	Task7
FBgn0011740	alpha-Man-IIa
FBgn0261552	ps
FBgn0037696	GstZ1
FBgn0037697	GstZ2
FBgn0037698	CG16779
FBgn0266730	lncRNA:CR45203
FBgn0043791	phu
FBgn0014380	RhoL
FBgn0037700	CG8149
FBgn0267790	rump
FBgn0003205	Ras85D
FBgn0014022	Rlb1
FBgn0014023	mRpL47
FBgn0037702	CG8176
FBgn0037703	JHDM2
FBgn0262180	mir-2283
FBgn0000244	by
FBgn0037705	mura
FBgn0260722	lncRNA:CR42549
FBgn0037707	RnpS1
FBgn0037708	CG9386
FBgn0037709	CG8199
FBgn0024833	AP-1mu
FBgn0027950	MBD-like
FBgn0037710	CG9393
FBgn0261049	Vps45
FBgn0037712	CG16789
FBgn0037713	CG16790
FBgn0037714	CG9396
FBgn0037715	CG9399
FBgn0027338	Kap-alpha3
FBgn0037716	Son
FBgn0037717	CG8301
FBgn0053654	CG33654
FBgn0037718	P58IPK
FBgn0037719	bocks
FBgn0037720	CG8312
FBgn0037721	CG9427
FBgn0037722	CG8319
FBgn0005585	Calr
FBgn0286035	sisRNA:CR46357
FBgn0037723	SpdS
FBgn0266413	asRNA:CR45053
FBgn0003334	Scm
FBgn0012344	Dh44
FBgn0037724	Fst
FBgn0037726	CG9492
FBgn0263389	CR43441
FBgn0037727	Nepl12
FBgn0037728	p23
FBgn0028997	nmdyn-D7
FBgn0037730	CG9444
FBgn0069242	eca
FBgn0037731	CG18542
FBgn0260463	Unc-115b
FBgn0053105	p24-2
FBgn0052939	CG32939
FBgn0051352	Unc-115a
FBgn0037734	trbd
FBgn0278604	dmt
FBgn0263477	scaRNA:PsiU1-6
FBgn0002431	hyd
FBgn0262477	FoxP
FBgn0003886	alphaTub85E
FBgn0037736	side-VII
FBgn0037737	Pnn
FBgn0085438	CG34409
FBgn0051415	CG31415
FBgn0037739	CG12948
FBgn0005777	PpD3
FBgn0037741	CG16908
FBgn0037742	Rpt3R
FBgn0037743	CG8412
FBgn0286506	Mpi
FBgn0266720	Snap24
FBgn0037746	CG8478
FBgn0024330	MED6
FBgn0037747	Naa80
FBgn0037749	CG9471
FBgn0037750	Whamy
FBgn0037751	topi
FBgn0261599	RpS29
FBgn0086663	snoRNA:Psi18S-1275
FBgn0051514	asRNA:CR31514
FBgn0037753	CG12947
FBgn0002868	MtnA
FBgn0037754	CG8500
FBgn0037755	CG12945
FBgn0037756	CG8507
FBgn0037757	CG8516
FBgn0267819	asRNA:CR46144
FBgn0037758	CG9467
FBgn0037759	CG8526
FBgn0037760	FBXO11
FBgn0264827	asRNA:CR44035
FBgn0037761	CG8534
FBgn0037762	eloF
FBgn0037763	CG16904
FBgn0037764	CG9459
FBgn0037765	CG9458
FBgn0262104	CG42857
FBgn0267440	lncRNA:CR45790
FBgn0085331	CG34302
FBgn0262105	lncRNA:CR42858
FBgn0037766	Teh1
FBgn0267336	Glut4EF
FBgn0266389	lncRNA:CR45029
FBgn0037770	Art4
FBgn0283554	mir-9371
FBgn0045473	Gr85a
FBgn0037772	Spn85F
FBgn0037773	CG5359
FBgn0053208	Mical
FBgn0051407	CG31407
FBgn0027524	CG3909
FBgn0037777	CG11722
FBgn0037778	mtTFB2
FBgn0037779	CG12811
FBgn0037780	ohgt
FBgn0037781	Fancl
